web-scraper-order,web-scraper-start-url,class,class-href,title,price,rating,brand,operating system,model name,cellular technology
"1705169160-1","https://www.amazon.in/s?k=mobiles&page=5&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","Oneplus Nord CE 3 5G (Grey Shimmer, 8GB RAM, 128GB Storage)","https://www.amazon.in/Oneplus-Nord-Shimmer-128GB-Storage/dp/B0C9QPJY5R/ref=sr_1_84?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169147&sprefix=%2Caps%2C185&sr=8-84","Oneplus Nord CE 3 5G (Grey Shimmer, 8GB RAM, 128GB Storage)","24,999","7,653 ratings","OnePlus","OxygenOS","Nord CE 3 Lite 5G","5G, 4G LTE"
"1705169169-2","https://www.amazon.in/s?k=mobiles&page=5&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","Redmi Note 13 5G (Stealth Black, 6GB RAM, 128GB Storage) | MTK Dimensity 6080 5G | 7.6mm, Slimmest Note Ever","https://www.amazon.in/Redmi-Stealth-Storage-Dimensity-Slimmest/dp/B0CQPHMWR3/ref=sr_1_83?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169147&sprefix=%2Caps%2C185&sr=8-83","Redmi Note 13 5G (Stealth Black, 6GB RAM, 128GB Storage) | MTK Dimensity 6080 5G | 7.6mm, Slimmest Note Ever","17,998","","Redmi","Android 13, MIUI 14","Redmi Note 13 5G","5G"
"1705169178-3","https://www.amazon.in/s?k=mobiles&page=5&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)","https://www.amazon.in/OnePlus-Nord-Lite-128GB-Storage/dp/B09WQYFLRX/ref=sr_1_82?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169147&sprefix=%2Caps%2C185&sr=8-82","OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)","17,999","142,085 ratings","OnePlus","OxygenOS","Nord CE 2 Lite 5G","5G, 4G LTE"
"1705169186-4","https://www.amazon.in/s?k=mobiles&page=5&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","Lava Agni 2 5G (Glass Viridian, 8GB RAM, 256GB Storage) | India's First Dimensity 7050 Processor | 120 Hz Curved Amoled Display | 13 5G Bands | Superfast 66W Charging | Clean Android","https://www.amazon.in/Lava-Viridian-Dimensity-Processor-Superfast/dp/B0C467KFNM/ref=sr_1_81?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169147&sprefix=%2Caps%2C185&sr=8-81","Lava Agni 2 5G (Glass Viridian, 8GB RAM, 256GB Storage) | India's First Dimensity 7050 Processor | 120 Hz Curved Amoled Display | 13 5G Bands | Superfast 66W Charging | Clean Android","19,999","3,606 ratings","Lava","Android 13.0","Lava Agni 2 5G","5G"
"1705169194-5","https://www.amazon.in/s?k=mobiles&page=5&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","POCO C51 (Power Black, 4GB RAM, 64GB Storage)","https://www.amazon.in/Poco-C51-Power-Black-RAM/dp/B0C1SXGSH4/ref=sr_1_80?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169147&sprefix=%2Caps%2C185&sr=8-80","POCO C51 (Power Black, 4GB RAM, 64GB Storage)","5,798","80 ratings","POCO","Android 13.0","POCO C51","4G"
"1705169204-6","https://www.amazon.in/s?k=mobiles&page=5&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","Lava Storm 5G (Gale Green, 8GB RAM, 128GB ROM)|50MP+8MP Ultrawide Dual Camera|16MP FrontCamera|6.78"" FHD+ Punch Hole Display|5000 mAh Battery|33W Fast Charging|Upto 16GB ExpandableRAM|Clean Android","https://www.amazon.in/Lava-Ultrawide-FrontCamera-Charging-ExpandableRAM/dp/B0CHM729GT/ref=sr_1_79?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169147&sprefix=%2Caps%2C185&sr=8-79","Lava Storm 5G (Gale Green, 8GB RAM, 128GB ROM)|50MP+8MP Ultrawide Dual Camera|16MP FrontCamera|6.78"" FHD+ Punch Hole Display|5000 mAh Battery|33W Fast Charging|Upto 16GB ExpandableRAM|Clean Android","12,499","128 ratings","Lava","Android 13.0","Lava Storm 5G","5G"
"1705169214-7","https://www.amazon.in/s?k=mobiles&page=5&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","realme narzo 60 5G (Mars Orange,8GB+256GB) | 90Hz Super AMOLED Display | Ultra Premium Vegan Leather Design | with 33W SUPERVOOC Charger","https://www.amazon.in/realme-Display-Premium-Leather-SUPERVOOC/dp/B0C787P8BV/ref=sr_1_78?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169147&sprefix=%2Caps%2C185&sr=8-78","realme narzo 60 5G (Mars Orange,8GB+256GB) | 90Hz Super AMOLED Display | Ultra Premium Vegan Leather Design | with 33W SUPERVOOC Charger","17,999","5,410 ratings","realme","Android 13.0","realme narzo 60 5G","5G, 4G LTE"
"1705169224-8","https://www.amazon.in/s?k=mobiles&page=5&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","iQOO Z7s 5G by vivo (Norway Blue, 6GB RAM, 128GB Storage) | Ultra Bright AMOLED Display | Snapdragon 695 5G 6nm Processor | 64 MP OIS Ultra Stable Camera | 44WFlashCharge","https://www.amazon.in/iQOO-Storage-Snapdragon-Processor-44WFlashCharge/dp/B07WHS7MZ4/ref=sr_1_77?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169147&sprefix=%2Caps%2C185&sr=8-77","iQOO Z7s 5G by vivo (Norway Blue, 6GB RAM, 128GB Storage) | Ultra Bright AMOLED Display | Snapdragon 695 5G 6nm Processor | 64 MP OIS Ultra Stable Camera | 44WFlashCharge","14,999","12,839 ratings","iQOO","Funtouch OS 13 Based On Android 13","iQOO Z7s 5G by vivo","5G"
"1705169234-9","https://www.amazon.in/s?k=mobiles&page=5&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","Vivo Y17s (Glitter Purple, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","https://www.amazon.in/Vivo-Glitter-Storage-Additional-Exchange/dp/B07WGNXGB3/ref=sr_1_74?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169147&sprefix=%2Caps%2C185&sr=8-74","Vivo Y17s (Glitter Purple, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","10,499","75 ratings","Vivo","FunTouch OS 13 (Android 13 edition)","Y17s","LTE"
"1705169245-10","https://www.amazon.in/s?k=mobiles&page=5&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","OnePlus Nord CE 2 5G (Bahamas Blue, 8GB RAM, 128GB Storage)","https://www.amazon.in/OnePlus-Nord-Bahamas-128GB-Storage/dp/B09RG5R5FG/ref=sr_1_73?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169147&sprefix=%2Caps%2C185&sr=8-73","OnePlus Nord CE 2 5G (Bahamas Blue, 8GB RAM, 128GB Storage)","19,999","142,085 ratings","OnePlus","OxygenOS","Nord CE 2 5G","5G"
